0,0.000,1.592
0,2.219,2.105
0,2.461,3.715
1.9713,0.000,1.008
1.9713,2.462,1.755
1.9713,2.707,3.513
3.9426,0.000,0.556
3.9426,2.642,1.470
3.9426,2.894,3.337
5.9139,0.000,0.232
5.9139,2.768,1.251
5.9139,2.985,3.288
7.8852,0.000,0.003
7.8852,2.848,1.090
7.8852,3.000,3.300
9.8565,0.000,0.000
9.8565,2.890,1.000
9.8565,3.000,3.300
11.8278,0.000,0.000
11.8278,2.790,1.100
11.8278,3.000,3.394
13.7991,0.000,0.010
13.7991,2.430,1.360
13.7991,2.985,3.547
15.7704,0.000,0.032
15.7704,1.918,1.650
15.7704,2.840,3.761
17.7417,0.000,0.079
17.7417,1.139,2.025
17.7417,2.350,4.035
19.713,0.000,3.009
19.713,1.261,4.371
20.385,0.000,4.500
